@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data
330000,1200,1993,85,0,1,1,0
310000,2600,1998,110,0,1,1,0
53000,29900,2007,270,0,1,1,1
350000,1500,1997,86,0,0,1,0
220000,3900,2001,100,0,1,1,0
400000,350,1989,95,0,1,1,0
214000,3450,2001,100,0,1,1,0
91000,31500,2011,155,0,1,1,1
200000,500,1989,95,0,1,1,0
134000,5290,2003,110,1,1,1,0
119500,1750,1982,110,1,0,1,0
400000,3500,1999,105,0,1,1,0
2000,700,1991,85,1,1,1,0
150000,3100,1993,142,0,1,0,0
247444,1229,1989,85,0,1,1,0
200000,7500,2006,85,1,1,1,0
285000,3450,2001,77,0,1,1,0
245456,3300,2000,100,1,0,1,0
184000,4499,2003,85,0,0,1,0
170000,11000,2009,105,0,1,1,0
192000,4350,2003,110,0,1,1,0
124800,3300,1986,75,0,0,1,0
189000,4500,2002,120,0,0,1,0
130394,34500,2011,190,0,1,1,1
222125,12499,2008,130,0,1,1,0
250000,4950,2004,110,0,0,1,0
182844,19200,2012,105,0,1,1,0
230000,9200,2004,160,1,1,1,0
199000,3999,2003,110,0,1,1,0
117000,30900,2011,160,0,0,1,1
156800,36900,2011,230,0,1,1,1
150000,24500,2011,135,0,1,1,1
175000,4250,2004,110,0,1,1,1
225000,13200,2004,160,0,1,1,1
168000,3299,2002,85,0,1,0,0
157000,11950,2006,110,0,1,1,0
178000,8999,2008,130,0,1,1,0
157000,7800,2007,90,0,1,1,0
170000,4000,1996,236,0,1,0,0
25000,1400,1991,84,1,1,1,0
195000,1500,1991,81,0,1,1,0
192000,1999,1991,141,0,0,1,0
194321,2900,2001,100,0,1,1,0
225000,14000,2007,110,1,0,1,0
246000,10400,2006,120,1,1,1,1
300000,600,1986,84,0,1,1,0
207500,5000,2001,100,0,0,1,0
333444,800,1989,110,0,1,1,0
276000,1599,1992,85,0,1,1,1
250000,2500,2001,100,0,1,1,0
170000,6400,2003,110,1,1,1,1
99430,2000,1994,140,1,1,1,0
254121,1050,1992,110,0,0,1,0
290000,9500,2002,135,0,1,1,1
320000,2600,1999,105,1,1,1,1
216500,900,1990,96,0,1,1,0
120000,950,1994,110,0,0,1,0
78000,22900,2011,120,0,1,1,0
198000,3700,2000,110,0,1,1,0
184000,7750,2005,120,0,0,1,0
170000,3150,1999,87,0,1,1,0
